iter	Passed	Remaining
721	49811	19110
722	49891	19045
723	49952	18973
724	50030	18908
725	50091	18836
726	50154	18764
727	50215	18692
728	50275	18620
729	50349	18553
730	50411	18481
731	50470	18409
732	50537	18339
733	50601	18268
734	50657	18195
735	50722	18125
736	50783	18053
737	50851	17983
738	50924	17916
739	51006	17852
740	51085	17786
741	51147	17715
742	51219	17647
743	51293	17580
744	51366	17512
745	51439	17445
746	51510	17377
747	51574	17306
748	51647	17238
749	51714	17169
750	51779	17098
751	51843	17028
752	51916	16960
753	51984	16891
754	52053	16822
755	52113	16750
756	52178	16680
757	52247	16611
758	52309	16540
759	52379	16471
760	52441	16400
761	52514	16333
762	52582	16264
763	52649	16194
764	52719	16125
765	52777	16053
766	52830	15979
767	52912	15915
768	52992	15849
769	53062	15781
770	53127	15710
771	53194	15641
772	53252	15569
773	53325	15501
774	53395	15433
775	53474	15366
776	53554	15301
777	53633	15235
778	53700	15165
779	53761	15094
780	53823	15023
781	53893	14955
782	53964	14886
783	54030	14817
784	54099	14748
785	54169	14679
786	54242	14611
787	54314	14543
788	54390	14476
789	54455	14406
790	54531	14339
791	54579	14265
792	54657	14198
793	54724	14129
794	54789	14059
795	54862	13991
796	54929	13921
797	54992	13851
798	55056	13781
799	55123	13711
800	55196	13644
801	55261	13574
802	55320	13502
803	55379	13431
804	55438	13360
805	55504	13290
806	55572	13221
807	55644	13153
808	55704	13082
809	55772	13013
810	55841	12944
811	55904	12874
812	55965	12803
813	56031	12734
814	56102	12666
815	56171	12597
816	56235	12527
817	56303	12458
818	56365	12387
819	56424	12316
820	56500	12249
821	56571	12181
822	56640	12112
823	56696	12041
824	56759	11971
825	56821	11900
826	56893	11832
827	56961	11763
828	57032	11695
829	57092	11624
830	57163	11556
831	57218	11484
832	57279	11414
833	57344	11345
834	57404	11274
835	57482	11207
836	57545	11137
837	57618	11069
838	57683	11000
839	57763	10933
840	57839	10866
841	57941	10803
842	58023	10737
843	58091	10668
844	58162	10600
845	58225	10530
846	58293	10461
847	58364	10392
848	58415	10320
849	58477	10250
850	58537	10180
851	58617	10113
852	58689	10045
853	58753	9975
854	58818	9906
855	58874	9835
856	58944	9766
857	59011	9697
858	59068	9627
859	59140	9558
860	59209	9490
861	59290	9423
862	59368	9355
863	59436	9286
864	59501	9217
865	59569	9148
866	59618	9076
867	59689	9008
868	59758	8939
869	59829	8871
870	59892	8801
871	59961	8732
872	60056	8667
873	60125	8599
874	60194	8530
875	60262	8461
876	60328	8392
877	60393	8323
878	60456	8253
879	60537	8186
880	60620	8119
881	60690	8050
882	60759	7981
883	60816	7911
884	60884	7842
885	60951	7773
886	61030	7706
887	61097	7637
888	61157	7567
889	61211	7496
890	61294	7429
891	61357	7360
892	61431	7291
893	61496	7222
894	61579	7155
895	61646	7086
896	61721	7018
897	61787	6949
898	61854	6880
899	61912	6810
900	61971	6740
901	62039	6671
902	62108	6602
903	62180	6534
904	62243	6465
905	62307	6395
906	62371	6326
907	62424	6256
908	62487	6186
909	62554	6117
910	62620	6049
911	62685	5979
912	62750	5910
913	62805	5840
914	62879	5772
915	62945	5703
916	63024	5635
917	63094	5567
918	63166	5498
919	63240	5430
920	63311	5361
921	63378	5293
922	63442	5223
923	63508	5154
924	63580	5086
925	63660	5018
926	63731	4949
927	63807	4881
928	63886	4813
929	63967	4745
930	64027	4676
931	64087	4607
932	64163	4538
933	64237	4470
934	64311	4402
935	64374	4332
936	64440	4263
937	64505	4194
938	64568	4125
939	64636	4056
940	64701	3987
941	64775	3919
942	64847	3850
943	64918	3782
944	64989	3713
945	65057	3644
946	65130	3576
947	65191	3507
948	65252	3437
949	65311	3368
950	65376	3299
951	65438	3230
952	65507	3161
953	65564	3092
954	65636	3024
955	65703	2955
956	65780	2886
957	65849	2818
958	65917	2749
959	65996	2681
960	66080	2612
961	66149	2544
962	66222	2475
963	66291	2406
964	66359	2338
965	66414	2268
966	66480	2199
967	66537	2130
968	66595	2061
969	66661	1992
970	66725	1924
971	66800	1855
972	66866	1786
973	66942	1718
974	67026	1649
975	67099	1581
976	67166	1512
977	67243	1443
978	67317	1375
979	67394	1306
980	67465	1237
981	67526	1168
982	67591	1100
983	67657	1031
984	67728	962
985	67806	893
986	67881	825
987	67980	756
988	68052	688
989	68125	619
990	68206	550
991	68282	481
992	68358	413
993	68418	344
994	68487	275
995	68563	206
996	68625	137
997	68689	68
998	68761	0
